Idle Energy:
system_processes: 1245.8206301942132
rabbitmq: 711.1163948268962
policy: 308.17430336429504
sidecar: 1622.0719079152038
orchestrator: 223.92604773121207
surf: 308.61028398737847
uva: 308.6702813208303
api-gateway: 152.65321541264842
vu: 308.6902804319809
policy-enforcer: 244.25714412692759

Active Energy:
system_processes: 1695.3378145658576
rabbitmq: 707.6126881839906
policy: 263.4853619243375
sidecar: 1513.8535436920174
orchestrator: 135.95244708627274
surf: 264.76929059496723
uva: 281.47636242430974
api-gateway: 170.4665296372424
vu: 264.901283262041
policy-enforcer: 207.60446641853235
sql-algorithm: 0
sql-query: 0
