Idle Energy:
kernel_processes: 10406.156000000094
system_processes: 39073.6839999992
policy: 222.44799999999424
sidecar: 2481.9639999999863
rabbitmq: 522.1279999999448
orchestrator: 149.81199999999308
policy-enforcer: 179.26399999999222
surf: 607.7399999999564
vu: 567.1880000000352
api-gateway: 139.06799999999674
uva: 644.4400000000702
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9726.200000000128
system_processes: 42186.5240000003
policy: 187.2200000000026
sidecar: 2111.941772100022
rabbitmq: 511.37199999995084
orchestrator: 151.83999999999511
policy-enforcer: 165.31199999999285
surf: 416.45599999998717
vu: 433.43199999998325
api-gateway: 122.22799999999829
uva: 609.439999999995
sql-algorithm: 114.65782920000001
sql-query: 143.14607080000002
