Idle Energy:
kernel_processes: 10385.427999999567
system_processes: 39062.960000003084
policy: 221.47200000003008
rabbitmq: 497.8320000000038
policy-enforcer: 209.97999999999743
orchestrator: 176.59999999999994
sidecar: 2485.1520000000173
vu: 632.9440000000068
uva: 564.6280000000064
api-gateway: 105.03199999999924
surf: 627.8440000000013
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9486.15599999988
system_processes: 44684.415999999736
policy: 180.43999999996834
rabbitmq: 494.488000000001
policy-enforcer: 180.59599999999745
orchestrator: 123.97599999999846
sidecar: 2044.2070274999878
vu: 403.97199999999526
uva: 542.1640000000033
api-gateway: 90.01600000000053
surf: 402.37199999999666
sql-query: 37.152975
sql-algorithm: 72.0656685
