Idle Energy:
kernel_processes: 10527.703999999987
system_processes: 38877.903999999675
policy: 239.13599999997018
sidecar: 2235.7559999999867
uva: 639.8959999999933
rabbitmq: 553.023999999996
surf: 614.8760000000033
vu: 635.1839999999983
api-gateway: 65.00000000000142
orchestrator: 97.3079999999963
policy-enforcer: 148.9160000000045
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 10423.867999999822
system_processes: 39305.4120000017
policy: 230.56799999998975
sidecar: 2290.6319999999805
uva: 612.0680000000004
rabbitmq: 553.763999999997
surf: 573.0279999999914
vu: 630.8800000000015
api-gateway: 109.60800000000066
orchestrator: 147.3720000000007
policy-enforcer: 170.99600000000203
sql-algorithm: 0
sql-query: 0
