Idle Energy:
kernel_processes: 10462.98399999988
system_processes: 38963.888000002014
policy: 221.2359999999921
vu: 639.6040000000053
sidecar: 2518.0480000000002
uva: 602.1719999999976
policy-enforcer: 221.10400000000178
rabbitmq: 537.6959999999966
orchestrator: 145.49199999999956
surf: 616.8159999999991
api-gateway: 132.7159999999994
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9856.272000000172
system_processes: 42133.16400000015
policy: 192.52399999999176
vu: 639.3279999999942
sidecar: 2079.2239999999915
uva: 547.4479999999941
policy-enforcer: 180.40800000000047
rabbitmq: 517.6520000000008
orchestrator: 123.21999999999913
surf: 333.2359999999976
api-gateway: 118.1799999999999
sql-query: 0
sql-algorithm: 0
