Idle Energy:
kernel_processes: 10443.708000000002
system_processes: 38852.911999999924
policy: 228.01200000000122
sidecar: 2439.4239999999995
uva: 600.1240000000004
rabbitmq: 521.9199999999995
surf: 622.9799999999999
vu: 603.6239999999989
policy-enforcer: 211.25600000000028
api-gateway: 72.7720000000002
orchestrator: 118.207999999999
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9483.612000000032
system_processes: 44267.61199999993
policy: 174.0880000000031
sidecar: 1899.570801800003
uva: 541.4640000000029
rabbitmq: 499.0359999999978
surf: 370.1240000000004
vu: 363.8920000000003
policy-enforcer: 164.37599999999938
api-gateway: 113.9399999999993
orchestrator: 135.47999999999996
sql-query: 60.006039
sql-algorithm: 0
