Idle Energy:
system_processes: 1093.4085959375966
policy: 308.3017022978797
sidecar: 1728.2208098137687
rabbitmq: 730.088448375483
api-gateway: 202.55700253344605
surf: 309.0537357215874
vu: 308.73372149873364
policy-enforcer: 211.86541624072206
orchestrator: 244.4708653717942
uva: 308.9137294990886

Active Energy:
system_processes: 1200.787999999999
policy: 293.49200000000025
sidecar: 2026.0639999999994
rabbitmq: 713.7519999999984
api-gateway: 184.79199999999972
surf: 294.0600000000003
vu: 293.9760000000003
policy-enforcer: 282.70000000000016
orchestrator: 203.7480000000001
uva: 294.31600000000026
sql-algorithm: 354.25999999999993
