Idle Energy:
policy: 227.96000000000146
system_processes: 40269.272000000055
policy-enforcer: 228.0519999999966
orchestrator: 174.24399999999747
sidecar: 2417.391999999986
rabbitmq: 534.616000000008
surf: 609.8359999999861
uva: 617.4720000000059
vu: 607.6080000000028
api-gateway: 128.0159999999988
sql-algorithm: 0
sql-query: 0

Active Energy:
policy: 225.76400000000038
system_processes: 40933.78799999981
policy-enforcer: 216.66400000000073
orchestrator: 146.83199999999982
sidecar: 2365.704000000014
rabbitmq: 512.604000000003
surf: 663.5519999999979
uva: 600.7759999999955
vu: 578.483999999999
api-gateway: 140.4039999999978
sql-algorithm: 0
sql-query: 0
