Idle Energy:
kernel_processes: 10553.888000000501
system_processes: 39213.46400000112
policy: 225.4159999999907
rabbitmq: 563.7679999999995
policy-enforcer: 225.30400000000037
orchestrator: 187.91199999999813
sidecar: 2638.2560000000026
vu: 677.7480000000078
uva: 639.2600000000008
api-gateway: 133.6080000000009
surf: 648.7839999999926
sql-query: 0
sql-algorithm: 0

Active Energy:
kernel_processes: 9552.26400000016
system_processes: 44505.40399999966
policy: 189.76400000000586
rabbitmq: 571.5680000000067
policy-enforcer: 175.8079999999985
orchestrator: 127.78399999999743
sidecar: 2074.2218324000087
vu: 398.12800000000357
uva: 585.9599999999996
api-gateway: 74.02400000000043
surf: 391.4120000000048
sql-query: 39.1508262
sql-algorithm: 96.61584760000001
