Idle Energy:
kernel_processes: 10520.468000000168
system_processes: 38578.23200000096
policy: 226.47999999999362
vu: 646.6439999999973
sidecar: 2481.395999999998
uva: 583.1840000000032
policy-enforcer: 210.65999999999937
rabbitmq: 525.9479999999982
orchestrator: 176.45199999999988
surf: 694.5959999999974
api-gateway: 161.3840000000006
sql-algorithm: 0
sql-query: 0

Active Energy:
kernel_processes: 9862.272000000055
system_processes: 41548.40000000015
policy: 194.972000000007
vu: 624.711999999996
sidecar: 2031.9119999999991
uva: 542.4079999999994
policy-enforcer: 190.74799999999917
rabbitmq: 511.2279999999995
orchestrator: 149.56399999999928
surf: 323.604000000001
api-gateway: 141.00400000000047
sql-query: 0
sql-algorithm: 0
